prosumer,hour,p_ch,p_dis,action
0,0,0.9336915173110214,0.0,0.37347660692440854
0,1,0.0,0.0,0.0
0,2,0.0,0.0,0.0
0,3,0.0,0.0,0.0
0,4,0.0,0.0,0.0
0,5,0.0,0.0,0.0
0,6,0.0,0.0,0.0
0,7,0.0,0.0,0.0
0,8,0.0,0.0,0.0
0,9,0.31353166666666654,0.0,0.12541266666666662
0,10,0.4841358333333332,0.0,0.1936543333333333
0,11,1.0518955917592456,0.0,0.4207582367036983
0,12,0.5456483333333335,0.0,0.21825933333333342
0,13,0.9286439008940102,0.0,0.3714575603576041
0,14,0.7078414900357224,0.0,0.283136596014289
0,15,0.03461166666666715,0.0,0.013844666666666861
0,16,0.0,0.0,0.0
0,17,0.0,0.7558421052631585,-0.3023368421052634
0,18,0.0,1.6402807017543863,-0.6561122807017545
0,19,0.0,2.113070175438595,-0.8452280701754381
0,20,0.0,0.49080701754385947,-0.1963228070175438
0,21,0.0,0.0,0.0
0,22,0.0,0.0,0.0
0,23,0.0,0.0,0.0
1,0,0.0,0.0,0.0
1,1,0.0,0.0,0.0
1,2,1.1882930765298894,0.0,0.23765861530597787
1,3,0.0,0.0,0.0
1,4,0.0,0.0,0.0
1,5,0.0,0.0,0.0
1,6,0.0,0.0,0.0
1,7,0.0,0.0,0.0
1,8,0.2935418635651379,0.0,0.058708372713027576
1,9,0.3454516666666674,0.0,0.06909033333333348
1,10,0.7272250000000007,0.0,0.14544500000000013
1,11,0.22122333333333444,0.0,0.04424466666666689
1,12,0.9504908333333342,0.0,0.19009816666666685
1,13,0.8923508333333334,0.0,0.17847016666666668
1,14,0.13262000000000107,0.0,0.026524000000000214
1,15,0.0,0.0,0.0
1,16,0.0,0.0,0.0
1,17,0.0,1.038859649122807,-0.2077719298245614
1,18,0.0,0.6286666666666667,-0.12573333333333334
1,19,0.0,0.8285614035087718,-0.16571228070175437
1,20,0.0,0.6367368421052628,-0.12734736842105257
1,21,0.0,1.0446702909722259,-0.20893405819444516
1,22,0.0,0.4802280701754382,-0.09604561403508764
1,23,0.0,0.09347368421052593,-0.018694736842105188
2,0,0.0,0.0,0.0
2,1,0.0,0.0,0.0
2,2,0.0,0.0,0.0
2,3,0.0,0.0,0.0
2,4,0.0,0.0,0.0
2,5,0.0,0.0,0.0
2,6,0.0,0.0,0.0
2,7,0.0,0.0,0.0
2,8,0.0,0.0,0.0
2,9,0.0,0.0,0.0
2,10,0.0,0.0,0.0
2,11,0.0,0.0,0.0
2,12,0.0,0.0,0.0
2,13,0.0,0.0,0.0
2,14,0.0,0.0,0.0
2,15,0.0,0.0,0.0
2,16,0.0,0.0,0.0
2,17,0.0,0.0,0.0
2,18,0.0,0.0,0.0
2,19,0.0,0.0,0.0
2,20,0.0,0.0,0.0
2,21,0.0,0.0,0.0
2,22,0.0,0.0,0.0
2,23,0.0,0.0,0.0
3,0,0.0,0.0,0.0
3,1,0.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,4,0.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
3,7,0.0,0.0,0.0
3,8,0.0,0.0,0.0
3,9,0.8589547365543959,0.0,0.11452729820725278
3,10,0.3353746806707303,0.0,0.0447166240894307
3,11,1.750232500000001,0.0,0.23336433333333345
3,12,0.0,0.0,0.0
3,13,1.6438483333333336,0.0,0.2191797777777778
3,14,1.5006358333333338,0.0,0.20008477777777783
3,15,0.0,0.0,0.0
3,16,0.0,0.0,0.0
3,17,0.0,0.613052631578948,-0.08174035087719306
3,18,0.0,2.8349207307209605,-0.37798943076279473
3,19,0.0,1.815352513645264,-0.24204700181936853
3,20,0.0,0.3343586558576872,-0.04458115411435829
3,21,0.0,0.3343440082292819,-0.044579201097237585
3,22,0.0,0.097017543859649,-0.012935672514619866
3,23,0.0,0.0600000000000005,-0.008000000000000066
4,0,0.0,0.0,0.0
4,1,0.0,0.0,0.0
4,2,0.0,0.0,0.0
4,3,0.5211384392544789,0.0,0.20845537570179157
4,4,0.0,0.0,0.0
4,5,0.0,0.0,0.0
4,6,0.0,0.0,0.0
4,7,0.0,0.0,0.0
4,8,0.0,0.0,0.0
4,9,0.1881474999999999,0.0,0.07525899999999996
4,10,0.3188833333333334,0.0,0.12755333333333335
4,11,0.6904036660086805,0.0,0.2761614664034722
4,12,0.5829833333333334,0.0,0.23319333333333336
4,13,0.4492866666666666,0.0,0.17971466666666663
4,14,0.33813666666666675,0.0,0.1352546666666667
4,15,0.3185033333333336,0.0,0.12740133333333342
4,16,0.09735916666666666,0.0,0.03894366666666667
4,17,0.0,0.0,0.0
4,18,0.0,0.634105263157895,-0.253642105263158
4,19,0.0,0.6384035087719302,-0.25536140350877207
4,20,0.0,0.856245614035088,-0.3424982456140352
4,21,0.0,0.920894736842105,-0.368357894736842
4,22,0.0,0.4551929824561398,-0.18207719298245592
4,23,0.0,0.0,0.0
5,0,0.0,0.0,0.0
5,1,1.3057643889160748,0.0,0.5223057555664299
5,2,0.0,0.0,0.0
5,3,0.0,0.0,0.0
5,4,0.0,0.0,0.0
5,5,0.5040881110839233,0.0,0.2016352444335693
5,6,0.0,0.0,0.0
5,7,0.0,0.0,0.0
5,8,0.19856583333333377,0.0,0.07942633333333352
5,9,0.28628250000000044,0.0,0.11451300000000017
5,10,0.3964983333333336,0.0,0.15859933333333345
5,11,0.4630933333333336,0.0,0.18523733333333342
5,12,0.4134241666666667,0.0,0.1653696666666667
5,13,0.4870175000000003,0.0,0.19480700000000012
5,14,0.4265975000000002,0.0,0.17063900000000007
5,15,0.31505166666666673,0.0,0.1260206666666667
5,16,0.20361666666666656,0.0,0.08144666666666663
5,17,0.0,1.7030718789747343,-0.6812287515898937
5,18,0.0,0.3654544368147392,-0.1461817747258957
5,19,0.0,0.431473684210526,-0.1725894736842104
5,20,0.0,2.5,-1.0
5,21,0.0,0.0,0.0
5,22,0.0,0.0,0.0
5,23,0.0,0.0,0.0
6,0,0.0,0.0,0.0
6,1,0.0,0.0,0.0
6,2,0.0,0.0,0.0
6,3,0.0,0.0,0.0
6,4,0.0,0.0,0.0
6,5,0.0,0.0,0.0
6,6,0.0,0.0,0.0
6,7,0.0,0.0,0.0
6,8,0.0,0.0,0.0
6,9,0.20718464912281398,0.0,0.027624619883041865
6,10,0.6187508333333334,0.0,0.08250011111111112
6,11,0.6878158333333335,0.0,0.0917087777777778
6,12,0.0,0.0,0.0
6,13,0.4709308333333331,0.0,0.06279077777777774
6,14,1.0740066666666666,0.0,0.14320088888888888
